순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
8,오지환,LG,0.267,65,235,202,29,54,9,0,6,81,38,6,3,21,0,3,41,4,0.401,0.341,0.742,12,0.310,0.000
9,문정빈,LG,0.255,21,58,51,8,13,3,1,3,27,11,0,1,6,0,0,17,0,0.529,0.328,0.857,3,0.231,0.333
10,홍창기,LG,0.247,62,274,219,41,54,8,1,0,64,20,2,2,45,0,6,61,5,0.292,0.386,0.678,12,0.277,0.000
11,신민재,LG,0.235,68,240,204,23,48,2,0,0,50,14,4,2,29,0,1,31,3,0.245,0.331,0.576,10,0.255,0.000
12,박동원,LG,0.231,62,216,173,27,40,9,0,7,70,30,5,2,33,2,3,53,6,0.405,0.360,0.765,8,0.207,0.000
13,이주헌,LG,0.213,35,66,61,8,13,1,0,3,23,9,1,1,2,0,1,19,1,0.377,0.246,0.623,3,0.278,0.000
14,이재원,LG,0.203,30,68,59,4,12,3,0,2,21,8,0,1,5,0,3,25,0,0.356,0.294,0.650,2,0.125,0.250
15,이영빈,LG,0.200,38,56,50,6,10,1,0,1,14,8,0,1,5,0,0,17,0,0.280,0.268,0.548,1,0.250,0.000
16,김현종,LG,0.167,18,12,12,2,2,0,0,0,2,0,0,0,0,0,0,4,0,0.167,0.167,0.334,0,0.000,0.000
17,최원영,LG,0.143,25,15,14,7,2,1,0,0,3,1,1,0,0,0,0,3,1,0.214,0.143,0.357,0,0.200,0.000
18,강민균,LG,0.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000
18,김민수,LG,0.000,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000
18,김성진,LG,0.000,4,6,5,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0.000,0.167,0.167,0,0.000,0.000
18,김영우,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
18,김주성,LG,0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000
18,박시원,LG,0.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
18,손용준,LG,0.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000
18,손주영,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
18,우강훈,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
18,장현식,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
1,오장한,NC,0.462,8,26,26,2,12,2,0,1,17,5,0,0,0,0,0,7,0,0.654,0.462,1.116,4,0.375,0.500
2,이우성,NC,0.346,63,242,228,22,79,15,0,4,106,28,1,0,12,0,1,36,10,0.465,0.382,0.847,26,0.333,0.000
3,박민우,NC,0.332,64,269,223,41,74,16,0,4,102,40,1,2,37,2,6,31,6,0.457,0.437,0.894,20,0.460,0.500
4,김주원,NC,0.318,67,303,261,45,83,13,0,12,132,34,1,3,25,2,13,37,0,0.506,0.401,0.907,27,0.279,0.000
5,박건우,NC,0.294,65,260,221,32,65,8,0,12,109,39,0,7,31,4,1,52,4,0.493,0.373,0.866,17,0.217,0.000
6,한석현,NC,0.289,54,129,114,14,33,3,0,2,42,17,5,1,7,0,2,22,2,0.368,0.339,0.707,7,0.294,0.200
7,김휘집,NC,0.288,16,61,52,4,15,2,0,0,17,11,0,0,4,0,5,10,1,0.327,0.393,0.720,5,0.400,0.000
8,천재환,NC,0.286,37,79,70,14,20,5,1,3,36,10,1,1,5,0,2,12,0,0.514,0.346,0.860,6,0.267,0.667
9,김한별,NC,0.274,40,91,73,19,20,6,0,0,26,7,2,0,12,0,4,16,4,0.356,0.404,0.760,3,0.286,0.000
10,권희동,NC,0.272,32,96,81,17,22,4,0,2,32,13,1,0,13,0,1,19,1,0.395,0.379,0.774,5,0.333,0.222
11,최정원,NC,0.270,57,129,111,21,30,3,0,0,33,6,6,0,8,0,4,23,1,0.297,0.341,0.638,8,0.207,0.500
12,데이비슨,NC,0.264,57,227,201,22,53,10,1,8,89,34,0,2,10,0,14,55,4,0.443,0.339,0.782,12,0.305,0.500
13,안중열,NC,0.258,33,77,66,11,17,5,0,1,25,9,2,1,6,0,2,17,5,0.379,0.333,0.712,3,0.200,0.400
14,윤준혁,NC,0.250,3,4,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.250,0.750,0,0.000,0.000
14,허윤,NC,0.250,16,5,4,4,1,0,0,0,1,1,0,0,1,0,0,2,0,0.250,0.400,0.650,0,0.500,0.000
16,서호철,NC,0.243,42,128,111,18,27,4,0,2,37,14,5,0,12,0,0,25,2,0.333,0.317,0.650,7,0.259,0.500
17,박시원,NC,0.237,28,68,59,15,14,3,0,1,20,5,2,1,6,0,0,17,0,0.339,0.303,0.642,5,0.176,0.333
18,김형준,NC,0.233,59,184,159,17,37,4,0,4,53,26,2,2,17,0,4,61,8,0.333,0.319,0.652,8,0.282,0.000
19,오영수,NC,0.217,26,54,46,5,10,0,0,2,16,3,0,0,6,0,2,15,2,0.348,0.333,0.681,2,0.071,0.091
20,고준휘,NC,0.174,13,27,23,2,4,1,0,1,8,5,0,0,2,0,2,5,1,0.348,0.296,0.644,1,0.111,0.000
21,신재인,NC,0.156,31,75,64,6,10,2,0,3,21,7,0,0,11,0,0,12,0,0.328,0.280,0.608,0,0.063,0.286
22,도태훈,NC,0.150,46,75,60,7,9,3,0,0,12,7,0,0,9,0,6,15,2,0.200,0.320,0.520,1,0.158,0.000
23,김정호,NC,0.125,9,8,8,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0.125,0.125,0.250,0,0.000,0.000
24,신성호,NC,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000
24,오태양,NC,0.000,10,13,10,1,0,0,0,0,0,1,0,1,2,0,0,4,0,0.000,0.154,0.154,0,0.000,0.000
24,한재환,NC,0.000,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0.000,0.000,0.000,0,0.000,0.000
1,석정우,SSG,0.500,3,3,2,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0.500,0.667,1.167,0,0.500,0.000
2,고명준,SSG,0.351,20,79,74,9,26,5,0,4,43,12,0,0,5,0,0,16,1,0.581,0.392,0.973,8,0.263,0.000
3,박성한,SSG,0.347,69,302,251,48,87,16,1,3,114,33,0,2,48,1,1,30,2,0.454,0.450,0.904,24,0.414,0.500
4,전의산,SSG,0.326,15,52,46,3,15,5,0,1,23,8,0,0,6,0,0,16,1,0.500,0.404,0.904,3,0.364,1.000
5,채현우,SSG,0.300,38,43,40,9,12,3,0,1,18,7,0,2,1,0,0,11,0,0.450,0.302,0.752,1,0.500,0.667
5,최준우,SSG,0.300,17,38,30,8,9,2,0,0,11,0,0,0,8,0,0,6,0,0.367,0.447,0.814,2,0.111,0.200
7,최정,SSG,0.294,57,246,204,35,60,13,1,17,126,45,0,5,31,5,6,55,4,0.618,0.394,1.012,13,0.241,0.000
8,홍대인,SSG,0.292,33,26,24,7,7,3,0,0,10,4,0,0,2,0,0,4,0,0.417,0.346,0.763,0,0.091,0.500
9,안상현,SSG,0.288,47,123,104,19,30,5,0,1,38,10,3,0,14,0,2,24,4,0.365,0.383,0.748,8,0.321,0.300
10,정준재,SSG,0.281,66,262,221,32,62,7,5,1,82,25,11,4,23,0,3,35,4,0.371,0.351,0.722,18,0.392,0.500
11,김성욱,SSG,0.275,41,84,69,13,19,3,0,1,25,7,0,1,12,0,2,18,0,0.362,0.393,0.755,5,0.267,0.250
12,에레디아,SSG,0.274,69,300,270,35,74,8,0,12,118,54,0,4,21,1,5,48,7,0.437,0.333,0.770,20,0.326,0.000
13,오태곤,SSG,0.244,61,188,172,26,42,6,0,9,75,27,0,2,12,0,2,56,6,0.436,0.298,0.734,8,0.286,0.125
14,이정범,SSG,0.231,6,13,13,0,3,1,0,0,4,0,0,0,0,0,0,4,0,0.308,0.231,0.539,0,0.000,0.000
15,최지훈,SSG,0.230,67,278,252,41,58,14,3,9,105,35,1,3,20,0,2,34,5,0.417,0.289,0.706,14,0.224,0.000
16,조형우,SSG,0.226,47,165,146,20,33,8,0,3,50,19,4,2,10,0,3,28,3,0.342,0.286,0.628,6,0.278,0.000
17,최윤석,SSG,0.200,6,12,10,1,2,1,0,0,3,0,0,0,1,0,1,2,2,0.300,0.333,0.633,0,0.000,0.000
18,김재환,SSG,0.191,60,241,199,23,38,4,0,8,66,30,0,1,38,0,3,71,3,0.332,0.328,0.660,7,0.286,0.000
19,류효승,SSG,0.176,7,18,17,1,3,0,0,1,6,1,0,0,1,0,0,3,0,0.353,0.222,0.575,0,0.000,0.000
20,이지영,SSG,0.172,32,68,58,7,10,3,0,0,13,4,3,1,6,0,0,6,2,0.224,0.246,0.470,0,0.154,0.500
21,한유섬,SSG,0.168,35,116,95,8,16,1,0,0,17,3,0,1,18,1,2,30,6,0.179,0.310,0.489,2,0.053,0.333
22,김민식,SSG,0.143,14,28,28,0,4,0,0,0,4,0,0,0,0,0,0,5,0,0.143,0.143,0.286,0,0.000,0.667
22,김민준,SSG,0.143,5,7,7,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0.143,0.143,0.286,0,0.000,0.000
24,신범수,SSG,0.125,4,8,8,1,1,0,0,1,4,1,0,0,0,0,0,2,0,0.500,0.125,0.625,0,0.000,0.000
25,김정민,SSG,0.111,14,10,9,1,1,0,0,0,1,1,0,0,1,0,0,3,0,0.111,0.200,0.311,0,0.000,0.000
26,김창평,SSG,0.000,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
26,노경은,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
26,박시후,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
26,이기순,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
26,이로운,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
26,임근우,SSG,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000
26,전영준,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
