순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
11,타카다,두산,3.52,32,1,1,0,6,0.500,46,40,3,19,5,39,18,18,1.28,0,0,0,0,196,757,0.240,5,1,3,2,0,1,0
12,김영현,두산,3.60,5,0,0,0,0,-,5,4,0,3,0,2,2,2,1.40,0,0,0,0,22,86,0.222,2,0,1,0,0,0,0
13,잭로그,두산,4.11,28,7,7,0,0,0.500,153 1/3,165,19,29,13,130,80,70,1.27,0,0,13,0,660,2431,0.271,32,2,7,2,0,1,0
14,최준호,두산,4.30,16,4,1,0,0,0.800,23,20,4,12,1,25,15,11,1.39,0,0,0,0,104,442,0.225,3,0,2,0,0,4,0
15,이용찬,두산,4.38,43,3,1,1,6,0.750,39,39,10,8,3,36,19,19,1.21,0,0,0,0,167,661,0.257,5,0,4,0,0,1,0
16,박치국,두산,4.40,52,0,1,0,8,0.000,45,56,2,14,7,41,29,22,1.56,0,0,0,0,212,816,0.301,10,1,3,2,1,1,0
17,박정수,두산,5.14,7,0,0,0,0,-,7,7,1,5,0,3,6,4,1.71,0,0,0,0,31,121,0.292,1,0,1,1,1,0,0
18,서준오,두산,5.40,4,0,0,0,0,-,3 1/3,5,1,0,0,3,2,2,1.50,0,0,0,0,15,58,0.333,1,0,0,0,0,0,0
18,플렉센,두산,5.40,2,0,2,0,0,0.000,5,2,1,6,2,3,4,3,1.60,0,0,0,0,26,111,0.111,0,0,0,0,0,0,0
20,이병헌,두산,5.75,53,1,1,0,7,0.500,40 2/3,55,5,20,3,35,36,26,1.84,0,0,0,4,202,823,0.313,6,0,2,1,0,3,0
21,최승용,두산,5.92,23,3,12,0,0,0.200,108,127,13,41,5,79,76,71,1.56,0,0,3,0,494,1922,0.289,23,2,6,3,0,7,0
22,양재훈,두산,5.92,26,2,3,0,2,0.400,24 1/3,27,3,14,4,31,18,16,1.68,0,0,0,0,116,522,0.278,3,0,1,0,2,6,0
23,김동주,두산,5.93,13,0,0,0,0,-,13 2/3,13,4,8,0,14,9,9,1.54,0,0,0,0,59,249,0.265,2,0,2,0,0,2,0
24,박신지,두산,6.37,21,0,2,0,0,0.000,35 1/3,40,6,16,2,30,28,25,1.58,0,0,0,0,162,587,0.288,9,1,2,3,0,3,0
25,타무라,두산,7.31,17,1,1,0,2,0.500,16,28,3,5,1,14,13,13,2.06,0,0,0,0,81,320,0.384,6,0,0,2,0,2,0
26,김한중,두산,9.00,4,0,0,0,0,-,3,4,0,1,1,3,3,3,1.67,0,0,0,0,15,65,0.333,2,0,0,1,0,0,0
27,최지강,두산,9.45,16,0,0,0,0,-,13 1/3,21,0,7,3,13,17,14,2.10,0,0,0,0,70,290,0.356,3,1,1,0,1,3,1
1,김기준,롯데,1.59,6,0,0,0,0,-,5 2/3,8,0,1,0,5,1,1,1.59,0,0,0,0,24,90,0.348,2,0,0,0,0,1,0
2,이준서,롯데,1.80,5,0,0,0,0,-,5,4,0,0,0,3,1,1,0.80,0,0,0,0,19,80,0.211,1,0,0,0,0,0,0
3,이진하,롯데,3.00,21,2,0,0,1,1.000,21,24,1,4,1,14,8,7,1.33,0,0,0,0,89,322,0.293,4,0,0,2,1,2,0
4,김강현,롯데,3.32,23,1,0,0,3,1.000,21 2/3,25,1,11,0,10,9,8,1.66,0,0,0,0,99,365,0.291,6,0,1,1,1,1,0
5,김진욱,롯데,3.95,24,6,8,0,0,0.429,134 1/3,129,17,49,7,116,70,59,1.33,0,0,10,0,584,2258,0.250,23,0,10,2,0,4,0
6,박정민,롯데,4.15,56,8,4,1,12,0.667,52,34,5,37,3,59,24,24,1.37,0,0,0,3,222,978,0.188,8,0,1,0,1,1,0
7,최준용,롯데,4.19,55,4,3,15,9,0.571,53 2/3,55,5,24,2,57,30,25,1.47,0,0,0,7,238,915,0.264,10,1,2,2,2,3,0
8,나균안,롯데,4.24,23,6,10,0,0,0.375,131 2/3,150,19,41,2,112,67,62,1.45,0,0,10,0,574,2202,0.290,30,1,7,6,1,4,0
9,로드리게스,롯데,4.38,28,10,11,0,0,0.476,156 1/3,156,23,56,9,180,81,76,1.36,0,0,13,0,683,2732,0.256,29,6,7,1,0,15,0
10,현도훈,롯데,4.41,51,3,3,0,5,0.500,51,42,2,27,2,36,31,25,1.35,0,0,0,1,220,923,0.227,4,1,5,1,2,3,0
11,구승민,롯데,4.50,8,0,0,0,0,-,8,7,0,5,1,6,4,4,1.50,0,0,0,0,37,138,0.226,0,0,0,0,0,0,0
12,김원중,롯데,4.65,59,1,5,5,18,0.167,50 1/3,52,3,23,5,39,31,26,1.49,0,0,0,2,232,881,0.264,13,0,5,2,4,7,0
13,정현수,롯데,4.76,13,0,1,0,0,0.000,5 2/3,9,1,4,0,5,3,3,2.29,0,0,0,0,30,133,0.360,3,0,0,1,0,0,0
13,홍민기,롯데,4.76,13,0,1,0,2,0.000,5 2/3,10,0,6,4,8,3,3,2.82,0,0,0,1,35,139,0.400,2,1,0,0,0,3,0
15,비슬리,롯데,4.81,26,10,7,0,0,0.588,144,159,13,42,13,157,81,77,1.40,0,0,12,0,642,2393,0.277,27,3,10,3,0,7,2
16,박세웅,롯데,4.99,24,3,9,0,0,0.250,131 2/3,157,11,47,11,112,81,73,1.55,0,0,10,0,595,2269,0.299,37,1,9,3,0,3,0
17,박준우,롯데,5.06,13,0,0,0,0,-,16,22,2,6,2,10,13,9,1.75,0,0,0,0,75,300,0.344,3,1,2,1,0,2,0
18,이승헌,롯데,6.00,7,0,0,0,0,-,6,7,0,4,0,4,5,4,1.83,0,0,0,0,29,120,0.280,2,0,0,0,0,0,0
19,이이무라,롯데,6.11,27,2,2,4,8,0.500,28,35,3,4,1,24,19,19,1.39,0,0,0,0,120,430,0.307,4,0,1,0,0,1,0
20,이민석,롯데,6.19,21,2,2,0,1,0.500,52 1/3,58,4,31,3,38,39,36,1.70,0,0,1,0,242,934,0.284,10,0,0,4,0,4,0
21,이영재,롯데,6.52,16,0,0,0,0,-,9 2/3,12,0,5,1,13,7,7,1.76,0,0,0,0,47,208,0.293,2,0,0,0,0,0,0
22,김창훈,롯데,6.75,3,0,0,0,0,-,2 2/3,5,0,0,0,2,2,2,1.88,0,0,0,0,12,45,0.455,0,0,0,1,0,2,0
22,정철원,롯데,6.75,34,1,2,0,3,0.333,28,33,3,14,1,21,21,21,1.68,0,0,0,2,128,507,0.306,10,0,5,0,0,4,0
24,쿄야마,롯데,7.59,10,0,1,0,1,0.000,10 2/3,14,1,9,0,13,10,9,2.16,0,0,0,0,54,222,0.318,3,0,1,0,0,2,0
25,최이준,롯데,8.31,15,0,1,0,0,0.000,13,12,2,11,0,9,13,12,1.77,0,0,0,0,60,242,0.245,2,0,0,0,1,3,0
26,김한결,롯데,9.00,7,0,1,0,0,0.000,8,6,1,6,1,9,9,8,1.50,0,0,0,0,38,149,0.194,1,0,0,0,0,0,0
