순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
8,이주형,키움,0.247,23,102,93,12,23,9,1,2,40,12,1,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000
9,최주환,키움,0.240,69,259,225,19,54,9,1,3,74,28,3,2,28,1,1,38,7,0.329,0.324,0.653,14,0.262,0.400
10,김건희,키움,0.238,71,239,210,17,50,11,0,6,79,32,2,3,24,1,0,69,3,0.376,0.312,0.688,10,0.309,0.091
11,박주홍,키움,0.237,45,159,135,17,32,6,1,2,46,7,0,0,20,0,4,43,2,0.341,0.352,0.693,7,0.136,0.500
12,송지후,키움,0.233,13,35,30,3,7,1,0,0,8,0,1,0,3,0,1,8,0,0.267,0.324,0.591,2,0.000,0.000
13,김지석,키움,0.224,17,56,49,3,11,1,0,1,15,3,3,1,1,0,2,9,1,0.306,0.264,0.570,2,0.182,0.000
14,브룩스,키움,0.217,41,161,143,11,31,6,0,0,37,16,0,3,14,0,1,24,1,0.259,0.286,0.545,6,0.364,0.500
15,어준서,키움,0.215,20,72,65,5,14,0,0,0,14,2,1,1,3,0,2,19,0,0.215,0.268,0.483,3,0.077,0.500
16,박수종,키움,0.208,40,56,48,10,10,2,0,0,12,2,2,0,5,0,1,9,1,0.250,0.296,0.546,1,0.133,0.000
17,이형종,키움,0.207,43,137,116,16,24,5,0,3,38,13,1,0,17,0,3,38,3,0.328,0.324,0.652,4,0.188,0.444
18,권혁빈,키움,0.204,42,108,98,7,20,2,0,0,22,9,1,1,5,0,3,28,1,0.224,0.262,0.486,3,0.250,0.000
19,원성준,키움,0.200,8,24,20,2,4,0,0,0,4,2,1,0,3,0,0,5,0,0.200,0.304,0.504,1,0.333,0.000
20,임지열,키움,0.197,26,75,66,8,13,2,0,1,18,3,2,0,7,0,0,21,3,0.273,0.274,0.547,1,0.150,0.143
21,여동욱,키움,0.188,20,42,32,5,6,2,0,2,14,4,0,0,8,0,2,10,1,0.438,0.381,0.819,0,0.083,0.222
21,전태현,키움,0.188,6,16,16,1,3,1,0,0,4,0,0,0,0,0,0,5,0,0.250,0.188,0.438,0,0.000,0.500
23,오선진,키움,0.186,49,67,59,5,11,2,0,0,13,3,4,0,4,0,0,11,1,0.220,0.238,0.458,1,0.133,0.000
24,양현종,키움,0.175,15,46,40,4,7,2,0,2,15,5,0,1,5,0,0,19,0,0.375,0.261,0.636,1,0.083,0.250
25,김태진,키움,0.167,9,14,12,2,2,0,0,0,2,0,0,0,2,0,0,4,0,0.167,0.286,0.453,0,0.200,0.167
